"Assay","logFC","AveExpr","t","P.Value","adj.P.Val","B","neg_log10_padj","neg_log10_p","sig","UniProt","delta_NPX","n_samples","analysis_group"
"BNIP2",-0.310086446919721,0.262916605298718,-0.697434269912521,0.499832165889941,0.996260879005333,-5.94401734412867,0.00162692314545418,0.30117579899187,"Not significant","Q12982",-0.299258179962635,12,"small_vessel_occlusion"
"KNDC1",0.159866162288268,0.0724177521963914,0.697063156513974,0.500055576798521,0.996260879005333,-5.86357937185351,0.00162692314545418,0.300981724952824,"Not significant","Q76NI1",0.084321363057409,12,"small_vessel_occlusion"
"CGN",0.160698555524567,-0.244033324842652,0.696926488176341,0.500137866582045,0.996260879005333,-5.93295167590162,0.00162692314545418,0.300910262778744,"Not significant","Q9P2M7",0.131794437127454,12,"small_vessel_occlusion"
"CA7",-0.416345448938454,-0.709458030760288,-0.696166733983873,0.500595473670868,0.996260879005333,-5.89564929136663,0.00162692314545418,0.30051308155291,"Not significant","P43166",-0.802566323110036,12,"small_vessel_occlusion"
"DTX3",0.157776460448449,-0.00608334876596928,0.695572680781769,0.500953453638342,0.996260879005333,-5.92448862257633,0.00162692314545418,0.300202624965344,"Not significant","Q8N9I9",0.111172178174768,12,"small_vessel_occlusion"
"GARIN2",0.192866036737924,0.068508359293143,0.695204953069521,0.501175125964003,0.996260879005333,-5.93681745483736,0.00162692314545418,0.300010491797296,"Not significant","Q8N9W8",0.163127777406148,12,"small_vessel_occlusion"
"PEX19",0.138955768132902,-0.212999165989459,0.695077949711402,0.501251699435358,0.996260879005333,-5.90388553103033,0.00162692314545418,0.299944141944535,"Not significant","P40855",0.237236086492028,12,"small_vessel_occlusion"
"MAP1LC3A",-0.254066387115573,-0.145982348670562,-0.694480433371411,0.501612051584242,0.996260879005333,-5.93322952834703,0.00162692314545418,0.299632037819965,"Not significant","Q9H492",-0.324528611983572,12,"small_vessel_occlusion"
"TSPY3_TSPY10",0.128902409361572,-0.0298369264540573,0.694308989513283,0.501715475365156,0.996260879005333,-5.90974558365866,0.00162692314545418,0.299542502994494,"Not significant","P0CV98_P0CW01",0.0150781825717006,12,"small_vessel_occlusion"
"MNDA",0.742174241860225,-0.344165428696821,0.6935508205198,0.502172996192217,0.996260879005333,-5.9455431253587,0.00162692314545418,0.299146644709565,"Not significant","P41218",0.741937848127314,12,"small_vessel_occlusion"
"ATP1B3",0.361063612602517,0.119504677752654,0.693439104155691,0.502240433237728,0.996260879005333,-5.91771985140735,0.00162692314545418,0.299088327017015,"Not significant","P54709",0.688050085306168,12,"small_vessel_occlusion"
"BLZF1",0.260350384494738,-0.0201765888681014,0.692838540357778,0.502603054209547,0.996260879005333,-5.913928528833,0.00162692314545418,0.298774876622228,"Not significant","Q9H2G9",0.129665341760431,12,"small_vessel_occlusion"
"SOX6",0.485729930596102,-0.0294123555067927,0.692664399266564,0.502708230250546,0.996260879005333,-5.94845908065318,0.00162692314545418,0.298684004521005,"Not significant","P35712",0.468569608272186,12,"small_vessel_occlusion"
"CCDC121",-0.252412220871937,-0.215335996705107,-0.692423849478234,0.502853536971378,0.996260879005333,-5.87994587700563,0.00162692314545418,0.298558490784232,"Not significant","Q6ZUS5",0.225580587490861,12,"small_vessel_occlusion"
"SLC39A14",0.158713529667134,-0.320844094268978,0.692034904688624,0.50308853681122,0.996260879005333,-5.89459101262383,0.00162692314545418,0.298355578234478,"Not significant","Q15043",0.305933376188789,12,"small_vessel_occlusion"
"RASSF10",0.159153709139076,0.190826918852205,0.691725612993988,0.503275457556198,0.996260879005333,-5.91962624047424,0.00162692314545418,0.298194247643389,"Not significant","A6NK89",0.501049047149718,12,"small_vessel_occlusion"
"CHUK",0.431113100763087,-0.0954271840552489,0.691653044012616,0.503319320745973,0.996260879005333,-5.93833007201745,0.00162692314545418,0.298156398169697,"Not significant","O15111",0.49322541483811,12,"small_vessel_occlusion"
"EIF4G3",-0.403024342999118,0.309006369362275,-0.691261197256541,0.50355620615649,0.996260879005333,-5.9494304350962,0.00162692314545418,0.297952047133684,"Not significant","O43432",-0.409220240371568,12,"small_vessel_occlusion"
"CIART",-0.227595213138004,-0.0396335871579746,-0.69125609726917,0.503559289723783,0.996260879005333,-5.93243174641544,0.00162692314545418,0.297949387704323,"Not significant","Q8N365",-0.372013995956097,12,"small_vessel_occlusion"
"CTIF",-0.465954274427059,0.206989193335176,-0.691245580242126,0.503565648591202,0.996260879005333,-5.9097205879423,0.00162692314545418,0.297943903536618,"Not significant","O43310",-0.62588762066194,12,"small_vessel_occlusion"
"CTRB1",-0.360380522097924,-0.769153906032443,-0.69110920462771,0.503648109200365,0.996260879005333,-5.9280734903843,0.00162692314545418,0.297872792141769,"Not significant","P17538",-0.668210754224232,12,"small_vessel_occlusion"
"FGD6",-0.365640309005865,-0.118813545753558,-0.690910984101519,0.503767979313162,0.996260879005333,-5.89477804925551,0.00162692314545418,0.2977694407473,"Not significant","Q6ZV73",0.32069436439446,12,"small_vessel_occlusion"
"HMCN2",-0.181481640921793,0.0683709091196458,-0.690794211948097,0.503838603094181,0.996260879005333,-5.90456310799614,0.00162692314545418,0.297708560798771,"Not significant","Q8NDA2",-0.024980198272637,12,"small_vessel_occlusion"
"TNRC6B",-0.231754823556897,-0.192862214210133,-0.690699318640603,0.503895998937326,0.996260879005333,-5.94981888580118,0.00162692314545418,0.297659090039428,"Not significant","Q9UPQ9",-0.237186238701854,12,"small_vessel_occlusion"
"TP53I3",0.371453244900911,0.180693580458562,0.690689414106228,0.503901989882508,0.996260879005333,-5.94651948300694,0.00162692314545418,0.297653926634733,"Not significant","Q53FA7",0.408381662624223,12,"small_vessel_occlusion"
"MOCS3",-0.129650103409692,0.0959507810572783,-0.690542849150135,0.50399064747774,0.996260879005333,-5.86823596269435,0.00162692314545418,0.297577522654665,"Not significant","O95396",0.0750402348382132,12,"small_vessel_occlusion"
"HCFC2",0.13497839446164,0.209522203231851,0.690505116173563,0.504013473789913,0.996260879005333,-5.84668360788429,0.00162692314545418,0.297557853406869,"Not significant","Q9Y5Z7",-0.294663726219109,12,"small_vessel_occlusion"
"ASB3",0.179922147404357,0.0277503704031308,0.690306308544589,0.504133751401365,0.996260879005333,-5.88062122881047,0.00162692314545418,0.297454225877292,"Not significant","Q9Y575",-0.0992614482130323,12,"small_vessel_occlusion"
"SAGE1",-0.153315895778527,-0.314506969259431,-0.69002545710025,0.504303694506561,0.996260879005333,-5.87527518683324,0.00162692314545418,0.297307850207046,"Not significant","Q9NXZ1",0.119482392870954,12,"small_vessel_occlusion"
"SEPTIN3",-0.285874279225891,0.108738335470359,-0.689750825888211,0.504469907039598,0.996260879005333,-5.93006649592185,0.00162692314545418,0.297164735465614,"Not significant","Q9UH03",-0.559367201157979,12,"small_vessel_occlusion"
